TRIPID,PERSID,HHID,STARTIME,TRIPTIME,WAITIME,CUMDIST,STOPS,ORIGLGA,TRAVDOW,Mode_Group,TRIPPURP,ActualStartTime
Y16H2090109P01T01,Y16H2090109P01,Y16H2090109,765,15,0,5.43,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 12:45:00
Y16H2090109P01T02,Y16H2090109P01,Y16H2090109,930,15,0,5.41,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Social,1900-00-01 15:30:00
Y16H2090109P01T03,Y16H2090109P01,Y16H2090109,990,15,0,9.63,1,Mornington Peninsula (S),Tuesday,Vehicle Driver,Buy Something,1900-00-01 16:30:00
Y16H2090124P01T02,Y16H2090124P01,Y16H2090124,900,10,0,6.56,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Buy Something,1900-00-01 15:00:00
Y16H2090124P01T03,Y16H2090124P01,Y16H2090124,915,20,0,21.36,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Buy Something,1900-00-01 15:15:00
Y16H2090124P02T01,Y16H2090124P02,Y16H2090124,390,30,0,18.49,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Work Related,1900-00-01 06:30:00
Y16H2090124P02T02,Y16H2090124P02,Y16H2090124,900,30,0,18.59,1,Mornington Peninsula (S),Wednesday,Vehicle Driver,Work Related,1900-00-01 15:00:00
Y16H2090126P02T01,Y16H2090126P02,Y16H2090126,960,20,0,7.84,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 16:00:00
Y16H2090126P02T02,Y16H2090126P02,Y16H2090126,1000,15,0,7.92,1,Mornington Peninsula (S),Friday,Vehicle Driver,Buy Something,1900-00-01 16:40:00
Y16H2090136P01T01,Y16H2090136P01,Y16H2090136,1020,10,0,7.78,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 17:00:00
Y16H2090136P01T02,Y16H2090136P01,Y16H2090136,1050,10,0,7.76,1,Mornington Peninsula (S),Monday,Vehicle Driver,Buy Something,1900-00-01 17:30:00
Y16H2090301P02T01,Y16H2090301P02,Y16H2090301,465,65,11,26.63,4,Kingston (C),Monday,Train,Work Related,1900-00-01 07:45:00
Y16H2090301P02T02,Y16H2090301P02,Y16H2090301,1060,65,10,26.28,4,Melbourne (C),Monday,Train,Work Related,1900-00-01 17:40:00
Y16H2090303P01T01,Y16H2090303P01,Y16H2090303,510,25,0,11.01,1,Kingston (C),Wednesday,Vehicle Driver,Work Related,1900-00-01 08:30:00
Y16H2090303P01T02,Y16H2090303P01,Y16H2090303,1020,30,0,12.29,1,Monash (C),Wednesday,Vehicle Driver,Buy Something,1900-00-01 17:00:00
Y16H2090303P01T03,Y16H2090303P01,Y16H2090303,1060,5,0,0.42,1,Kingston (C),Wednesday,Vehicle Driver,Buy Something,1900-00-01 17:40:00
Y16H2090305P01T01,Y16H2090305P01,Y16H2090305,480,20,0,8.48,1,Kingston (C),Friday,Vehicle Driver,Work Related,1900-00-01 08:00:00
Y16H2090305P01T02,Y16H2090305P01,Y16H2090305,960,20,0,8.53,1,Glen Eira (C),Friday,Vehicle Driver,Work Related,1900-00-01 16:00:00
Y16H2090305P02T01,Y16H2090305P02,Y16H2090305,330,50,0,49.14,1,Kingston (C),Friday,Vehicle Driver,Work Related,1900-00-01 05:30:00
Y16H2090305P02T02,Y16H2090305P02,Y16H2090305,930,70,0,49.71,1,Melton (S),Friday,Vehicle Driver,Recreational,1900-00-01 15:30:00
