STARTIME,Start Time,TRIPTIME,Mode_Group,Mode,Mode2,STOPS,Number of Stops
765,1900-01-00 12:45,15,Vehicle Driver,Car,Car,1,1
930,1900-01-00 15:30,15,Vehicle Driver,Car,Car,1,1
570,1900-01-00 9:30,5,Walking,Walking,Walking,1,1
770,1900-01-00 12:50,5,Walking,Walking,Walking,1,1
941,1900-01-00 15:41,4,Walking,Walking,Walking,1,1
950,1900-01-00 15:50,5,Walking,Walking,Walking,1,1
1065,1900-01-00 17:45,15,Vehicle Passenger,Car,Car,1,1
1095,1900-01-00 18:15,10,Vehicle Driver,Car,Car,1,1
1185,1900-01-00 19:45,15,Vehicle Driver,Car,Car,1,1
1095,1900-01-00 18:15,10,Vehicle Passenger,Car,Car,1,1
1185,1900-01-00 19:45,15,Vehicle Passenger,Car,Car,1,1
617,1900-01-00 10:17,12,Vehicle Driver,Car,Car,1,1
891,1900-01-00 14:51,14,Vehicle Driver,Car,Car,1,1
922,1900-01-00 15:22,8,Vehicle Driver,Car,Car,1,1
540,1900-01-00 9:00,30,Vehicle Driver,Car,Car,1,1
780,1900-01-00 13:00,30,Vehicle Driver,Car,Car,1,1
600,1900-01-00 10:00,15,Vehicle Driver,Car,Car,1,1
780,1900-01-00 13:00,10,Vehicle Driver,Car,Car,1,1
1140,1900-01-00 19:00,20,Vehicle Driver,Car,Car,1,1
540,1900-01-00 9:00,15,Vehicle Driver,Car,Car,1,1
615,1900-01-00 10:15,10,Vehicle Driver,Car,Car,1,1
750,1900-01-00 12:30,10,Vehicle Driver,Car,Car,1,1
795,1900-01-00 13:15,10,Vehicle Driver,Car,Car,1,1
982,1900-01-00 16:22,20,Vehicle Driver,Car,Car,1,1
1140,1900-01-00 19:00,20,Vehicle Driver,Car,Car,1,1
940,1900-01-00 15:40,62,Bus,Bus,PT,2,2
1140,1900-01-00 19:00,20,Vehicle Passenger,Car,Car,1,1
940,1900-01-00 15:40,62,Bus,Bus,PT,2,2
1140,1900-01-00 19:00,20,Vehicle Passenger,Car,Car,1,1
465,1900-01-00 7:45,17,Vehicle Driver,Car,Car,1,1
540,1900-01-00 9:00,20,Vehicle Passenger,Car,Car,1,1
855,1900-01-00 14:15,15,Vehicle Passenger,Car,Car,1,1
770,1900-01-00 12:50,20,Vehicle Driver,Car,Car,1,1
870,1900-01-00 14:30,10,Vehicle Driver,Car,Car,1,1
930,1900-01-00 15:30,5,Vehicle Driver,Car,Car,1,1
1140,1900-01-00 19:00,15,Vehicle Passenger,Car,Car,1,1
1385,1900-01-00 23:05,5,Vehicle Passenger,Car,Car,1,1
800,1900-01-00 13:20,10,Vehicle Driver,Car,Car,1,1
930,1900-01-00 15:30,10,Vehicle Driver,Car,Car,1,1
1095,1900-01-00 18:15,25,Vehicle Driver,Car,Car,1,1
1135,1900-01-00 18:55,25,Vehicle Driver,Car,Car,1,1
960,1900-01-00 16:00,1,Walking,Walking,Walking,1,1
1080,1900-01-00 18:00,1,Walking,Walking,Walking,1,1
1140,1900-01-00 19:00,35,Vehicle Driver,Car,Car,1,1
1185,1900-01-00 19:45,5,Walking,Walking,Walking,1,1
1350,1900-01-00 22:30,30,Vehicle Driver,Car,Car,1,1
1050,1900-01-00 17:30,20,Vehicle Driver,Car,Car,1,1
1110,1900-01-00 18:30,30,Vehicle Driver,Car,Car,1,1
1050,1900-01-00 17:30,20,Vehicle Passenger,Car,Car,1,1
1110,1900-01-00 18:30,30,Vehicle Passenger,Car,Car,1,1
1080,1900-01-00 18:00,80,Train,Train,PT,5,3+
1110,1900-01-00 18:30,20,Vehicle Driver,Car,Car,1,1
1230,1900-01-00 20:30,40,Vehicle Driver,Car,Car,1,1
740,1900-01-00 12:20,10,Walking,Walking,Walking,1,1
705,1900-01-00 11:45,15,Vehicle Driver,Car,Car,1,1
780,1900-01-00 13:00,15,Vehicle Driver,Car,Car,1,1
705,1900-01-00 11:45,15,Vehicle Passenger,Car,Car,1,1
780,1900-01-00 13:00,15,Vehicle Passenger,Car,Car,1,1
915,1900-01-00 15:15,5,Vehicle Driver,Car,Car,1,1
945,1900-01-00 15:45,15,Vehicle Driver,Car,Car,1,1
680,1900-01-00 11:20,10,Vehicle Driver,Car,Car,1,1
705,1900-01-00 11:45,40,Vehicle Driver,Car,Car,1,1
1080,1900-01-00 18:00,30,Vehicle Driver,Car,Car,1,1
1170,1900-01-00 19:30,30,Vehicle Driver,Car,Car,1,1
680,1900-01-00 11:20,10,Vehicle Passenger,Car,Car,1,1
705,1900-01-00 11:45,40,Vehicle Passenger,Car,Car,1,1
1080,1900-01-00 18:00,30,Vehicle Passenger,Car,Car,1,1
1170,1900-01-00 19:30,30,Vehicle Passenger,Car,Car,1,1
1205,1900-01-00 20:05,18,Vehicle Driver,Car,Car,1,1
1393,1900-01-00 23:13,45,Vehicle Driver,Car,Car,1,1
622,1900-01-00 10:22,38,Vehicle Driver,Car,Car,1,1
740,1900-01-00 12:20,10,Vehicle Driver,Car,Car,1,1
1110,1900-01-00 18:30,30,Vehicle Driver,Car,Car,1,1
378,1900-01-00 6:18,12,Vehicle Driver,Car,Car,1,1
591,1900-01-00 9:51,19,Vehicle Driver,Car,Car,1,1
730,1900-01-00 12:10,10,Vehicle Driver,Car,Car,1,1
510,1900-01-00 8:30,15,Vehicle Driver,Car,Car,1,1
565,1900-01-00 9:25,5,Vehicle Driver,Car,Car,1,1
750,1900-01-00 12:30,45,Vehicle Driver,Car,Car,1,1
750,1900-01-00 12:30,45,Vehicle Passenger,Car,Car,1,1
1120,1900-01-00 18:40,5,Walking,Walking,Walking,1,1
1290,1900-01-00 21:30,5,Walking,Walking,Walking,1,1
735,1900-01-00 12:15,15,Vehicle Passenger,Car,Car,1,1
795,1900-01-00 13:15,30,Vehicle Passenger,Car,Car,1,1
680,1900-01-00 11:20,5,Walking,Walking,Walking,1,1
700,1900-01-00 11:40,5,Vehicle Driver,Car,Car,1,1
800,1900-01-00 13:20,10,Vehicle Driver,Car,Car,1,1
735,1900-01-00 12:15,20,Vehicle Driver,Car,Car,1,1
760,1900-01-00 12:40,5,Vehicle Driver,Car,Car,1,1
1050,1900-01-00 17:30,30,Vehicle Passenger,Car,Car,1,1
1135,1900-01-00 18:55,35,Vehicle Passenger,Car,Car,1,1
1050,1900-01-00 17:30,30,Vehicle Driver,Car,Car,1,1
1135,1900-01-00 18:55,35,Vehicle Driver,Car,Car,1,1
1050,1900-01-00 17:30,30,Vehicle Passenger,Car,Car,1,1
1135,1900-01-00 18:55,35,Vehicle Passenger,Car,Car,1,1
1050,1900-01-00 17:30,30,Vehicle Passenger,Car,Car,1,1
1135,1900-01-00 18:55,35,Vehicle Passenger,Car,Car,1,1
1050,1900-01-00 17:30,30,Vehicle Passenger,Car,Car,1,1
1135,1900-01-00 18:55,35,Vehicle Passenger,Car,Car,1,1
930,1900-01-00 15:30,3,Vehicle Passenger,Car,Car,1,1
1140,1900-01-00 19:00,5,Vehicle Passenger,Car,Car,1,1
600,1900-01-00 10:00,10,Walking,Walking,Walking,1,1
570,1900-01-00 9:30,8,Walking,Walking,Walking,1,1
1080,1900-01-00 18:00,15,Vehicle Passenger,Car,Car,1,1
1260,1900-01-00 21:00,15,Vehicle Passenger,Car,Car,1,1
1080,1900-01-00 18:00,15,Vehicle Passenger,Car,Car,1,1
1260,1900-01-00 21:00,15,Vehicle Passenger,Car,Car,1,1
1080,1900-01-00 18:00,15,Vehicle Passenger,Car,Car,1,1
1260,1900-01-00 21:00,15,Vehicle Passenger,Car,Car,1,1
1080,1900-01-00 18:00,15,Vehicle Driver,Car,Car,1,1
1260,1900-01-00 21:00,15,Vehicle Driver,Car,Car,1,1
700,1900-01-00 11:40,20,Vehicle Driver,Car,Car,1,1
700,1900-01-00 11:40,20,Vehicle Passenger,Car,Car,1,1
1140,1900-01-00 19:00,30,Vehicle Driver,Car,Car,1,1
1410,1900-01-00 23:30,30,Vehicle Driver,Car,Car,1,1
405,1900-01-00 6:45,5,Vehicle Driver,Car,Car,1,1
600,1900-01-00 10:00,5,Vehicle Passenger,Car,Car,1,1
690,1900-01-00 11:30,5,Vehicle Passenger,Car,Car,1,1
990,1900-01-00 16:30,10,Vehicle Driver,Car,Car,1,1
1050,1900-01-00 17:30,10,Vehicle Driver,Car,Car,1,1
600,1900-01-00 10:00,5,Vehicle Driver,Car,Car,1,1
690,1900-01-00 11:30,5,Vehicle Driver,Car,Car,1,1
750,1900-01-00 12:30,15,Walking,Walking,Walking,1,1
910,1900-01-00 15:10,20,Vehicle Driver,Car,Car,1,1
990,1900-01-00 16:30,35,Vehicle Driver,Car,Car,1,1
1290,1900-01-00 21:30,20,Vehicle Driver,Car,Car,1,1
1390,1900-01-00 23:10,45,Vehicle Driver,Car,Car,1,1
720,1900-01-00 12:00,14,Walking,Walking,Walking,1,1
770,1900-01-00 12:50,40,Bus,Bus,PT,3,3+
630,1900-01-00 10:30,20,Vehicle Driver,Car,Car,1,1
720,1900-01-00 12:00,20,Vehicle Driver,Car,Car,1,1
900,1900-01-00 15:00,10,Walking,Walking,Walking,1,1
1110,1900-01-00 18:30,40,Vehicle Driver,Car,Car,1,1
900,1900-01-00 15:00,10,Walking,Walking,Walking,1,1
1110,1900-01-00 18:30,40,Vehicle Passenger,Car,Car,1,1
900,1900-01-00 15:00,10,Walking,Walking,Walking,1,1
1110,1900-01-00 18:30,40,Vehicle Passenger,Car,Car,1,1
450,1900-01-00 7:30,5,Vehicle Passenger,Car,Car,1,1
510,1900-01-00 8:30,5,Vehicle Driver,Car,Car,1,1
660,1900-01-00 11:00,20,Vehicle Driver,Car,Car,1,1
690,1900-01-00 11:30,5,Vehicle Driver,Car,Car,1,1
660,1900-01-00 11:00,20,Vehicle Passenger,Car,Car,1,1
690,1900-01-00 11:30,5,Vehicle Passenger,Car,Car,1,1
990,1900-01-00 16:30,5,Vehicle Driver,Car,Car,1,1
1035,1900-01-00 17:15,15,Vehicle Driver,Car,Car,1,1
690,1900-01-00 11:30,10,Vehicle Driver,Car,Car,1,1
780,1900-01-00 13:00,10,Vehicle Driver,Car,Car,1,1
474,1900-01-00 7:54,1,Walking,Walking,Walking,1,1
615,1900-01-00 10:15,5,Vehicle Driver,Car,Car,1,1
690,1900-01-00 11:30,5,Vehicle Driver,Car,Car,1,1
